Date,Price,Max Price,,15% drop,10% drop,5% drop,2% drop
06-10-2020,41.95041261,44.21003659,-5000,0,0,119,0
06-10-2020,39.78903233,44.21003659,-10000,0,251,0,0
07-10-2020,41.26270116,44.21003659,-5000,0,0,121,0
07-10-2020,39.29781063,44.21003659,-10000,0,254,0,0
08-10-2020,41.06621004,44.21003659,-5000,0,0,122,0
08-10-2020,39.59254219,44.21003659,-10000,0,253,0,0
09-10-2020,40.18201182,44.21003659,-5000,0,0,124,0
09-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
12-10-2020,40.23113333,44.21003659,-5000,0,0,124,0
12-10-2020,38.90483001,44.21003659,-10000,0,257,0,0
13-10-2020,39.64166394,44.21003659,-10000,0,252,0,0
13-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
14-10-2020,39.73991285,44.21003659,-10000,0,252,0,0
14-10-2020,39.29781172,44.21003659,-10000,0,254,0,0
15-10-2020,39.59254242,44.21003659,-10000,0,253,0,0
15-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
16-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
16-10-2020,38.31536436,44.21003659,-10000,0,261,0,0
19-10-2020,40.28025484,44.21003659,-5000,0,0,124,0
19-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
20-10-2020,40.18201182,44.21003659,-5000,0,0,124,0
20-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
21-10-2020,40.18201182,44.21003659,-5000,0,0,124,0
21-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
22-10-2020,39.78903222,44.21003659,-10000,0,251,0,0
22-10-2020,38.51185416,44.21003659,-10000,0,260,0,0
23-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
23-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
26-10-2020,39.73991071,44.21003659,-10000,0,252,0,0
26-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
27-10-2020,39.39605263,44.21003659,-10000,0,254,0,0
27-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
28-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
28-10-2020,39.2978096,44.21003659,-10000,0,254,0,0
29-10-2020,40.23113333,44.21003659,-5000,0,0,124,0
29-10-2020,38.36448587,44.21003659,-10000,0,261,0,0
30-10-2020,40.2802556,44.21003659,-5000,0,0,124,0
30-10-2020,35.36802931,44.21003659,-20000,565,0,0,0
02-11-2020,39.39605467,44.21003659,-10000,0,254,0,0
02-11-2020,36.35047577,44.21003659,-20000,550,0,0,0
03-11-2020,39.73991013,44.21003659,-10000,0,252,0,0
03-11-2020,39.29780902,44.21003659,-10000,0,254,0,0
04-11-2020,39.73991071,44.21003659,-10000,0,252,0,0
04-11-2020,39.2978096,44.21003659,-10000,0,254,0,0
05-11-2020,39.2978096,44.21003659,-10000,0,254,0,0
05-11-2020,39.2978096,44.21003659,-10000,0,254,0,0
06-11-2020,39.64166044,44.21003659,-10000,0,252,0,0
06-11-2020,39.29780613,44.21003659,-10000,0,254,0,0
09-11-2020,39.6907892,44.21003659,-10000,0,252,0,0
09-11-2020,38.56097567,44.21003659,-10000,0,259,0,0
10-11-2020,39.34693111,44.21003659,-10000,0,254,0,0
10-11-2020,38.70834396,44.21003659,-10000,0,258,0,0
11-11-2020,39.73991013,44.21003659,-10000,0,252,0,0
11-11-2020,39.29780902,44.21003659,-10000,0,254,0,0
12-11-2020,39.73991207,44.21003659,-10000,0,252,0,0
12-11-2020,38.36448719,44.21003659,-10000,0,261,0,0
